Date,Year,IPO_Name,Issue_Size_Cr,Subscription_Times,Issue_Price,Listing_Open,Listing_Close,Listing_Gain_Pct,Current_Gain_Pct,Status
2011-05-09,2011,Paramount Print,45.83,3.92,35.0,35.0,26.65,-23.86,-97.66,Loser
2011-05-06,2011,Muthoot Finance,901.25,24.55,175.0,176.45,176.25,0.71,788.86,Winner
2011-04-08,2011,Shilpi Cable,55.88,3.48,69.0,78.35,23.8,-65.51,-98.41,Loser
2011-03-30,2011,PTC India Fin,438.76,1.7,28.0,28.0,24.9,-11.07,-26.96,Loser
2011-03-24,2011,Lovable Lingeri,93.28,35.21,205.0,261.5,249.2,21.56,-38.9,Winner
2011-03-11,2011,Sudar Ind,69.98,1.55,77.0,74.0,113.1,46.88,-98.68,Winner
2011-03-11,2011,Fineotex Chem,30.32,1.57,70.0,80.0,14.09,-79.87,49.57,Loser
2011-03-10,2011,Acropetal Tech,170.0,1.28,90.0,130.0,98.45,9.39,-98.14,Winner
2011-02-10,2011,Omkar Special,79.38,4.67,98.0,95.0,46.2,-52.86,-81.29,Loser
2011-01-20,2011,C Mahendra Expo,165.0,2.78,110.0,111.0,55.43,-49.61,-98.37,Loser
2010-12-30,2010,Punjab & Sind,480.0,47.2,120.0,146.1,127.05,5.87,-83.33,Winner
2010-12-23,2010,A2Z Infra Eng,675.0,0.96,400.0,390.0,328.9,-17.78,-98.69,Loser
2010-12-20,2010,Claris Life,300.0,1.5,228.0,224.4,205.85,-9.71,73.93,Loser
2010-12-15,2010,MOIL,1260.0,0.0,375.0,551.0,233.25,-37.8,-49.31,Loser
2010-12-06,2010,RPP Infra Proj,48.75,2.97,75.0,75.0,68.95,-8.07,14.0,Loser
2010-11-16,2010,Gravita India,45.0,42.88,125.0,218.75,42.08,-66.34,48.92,Loser
2010-11-04,2010,Coal India,15475.0,15.28,245.0,300.0,342.35,39.73,-41.53,Winner
2010-10-27,2010,BS Limited,197.36,1.1,248.0,251.0,18.93,-92.37,-99.87,Loser
2010-10-27,2010,Gyscoal Alloys,54.67,8.59,71.0,76.6,8.16,-88.51,-96.06,Loser
2010-10-27,2010,Prestige Estate,1200.0,2.26,183.0,190.0,192.55,5.22,86.78,Winner
2010-10-20,2010,Oberoi Realty,1028.61,12.13,260.0,280.0,282.95,8.83,158.81,Winner
